Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Citoyens ayant estimé leur empreinte carbone,fd356ba0-19e4-4e7a-9cb5-2507d21cb41d,Transverse,Autre,Atténuation,18,Barres simple,,"Des outils permettent aujourd'hui à nos concitoyens d'évaluer leur propre empreinte carbone, et de s'informer sur les manières dont ils peuvent essayer de la réduire. L'indicateur représente le nombre de citoyens ayant estimé leur empreinte par l'outil ""Nos gaz à effet de serretes Climat"" mis à disposition par l'ADEME, en milliers.

",Milliers,Hexagone et outre-mer,Source PPG: données ADEME,,https://pilote.modernisation.gouv.fr/chantier/CH-053,,Lien seulement,,,,,,,,,,,,837,mesuré,2096,mesuré,5000,cible,7000,cible,10000,cible,,,,,,,,,Cible PPG 2026,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions directes des bâtiments résidentiels et tertiaires - tous GES,24975eb5-6fdb-4976-9637-95c55b962129,Bâtiment,Emissions,Atténuation,1,Barres simple,,"L'indicateur représente les émissions annuelles de gaz à effet de serre liées aux activités domestiques, notamment dans les bâtiments d’habitation, et aux activités et bâtiments des entreprises, commerces, institutions et services publics.

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"84,1105511682",mesuré,"80,0166732723",mesuré,"76,4654094471",mesuré,"72,0895231753",mesuré,"74,367845777",mesuré,"61,748670124",mesuré,"58,3767625753",mesuré,"56,9883812876",projection,"55,6",cible,"50,5336793987",projection,"45,4673587973",projection,"40,401038196",cible,"36,100519098",projection,"31,8",cible,Run2 mais recalé de 3M sur gaz,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions de CO2 des bâtiments résidentiels et tertiaires,0d223771-d5d5-4c24-957b-284bb5809f84,Bâtiment,Emissions,Atténuation,2,Barres simple,,"L'indicateur représente les émissions annuelles de CO2 liées aux activités domestiques, notamment dans les bâtiments d’habitation, et aux activités et bâtiments des entreprises, commerces, institutions et services publics.

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"69,5665530437",mesuré,"66,6346198134",mesuré,"64,5372065782",mesuré,"61,4893607553",mesuré,"64,2651020319",mesuré,"52,6209485188",mesuré,"49,4519052532",mesuré,"48,3759526266",projection,"47,3",cible,"42,703402305",projection,"38,1068046099",projection,"33,5102069149",cible,"29,5025172506",projection,"25,4948275862",cible,Run 2 AMS ajusté pour cohérence avec le total ci-dessus,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions de CH4 des bâtiments résidentiels et tertiaires,9ab66dee-230d-4813-8a44-ea069e2bd3b6,Bâtiment,Emissions,Atténuation,3,Barres simple,,"L'indicateur représente les émissions annuelles de méthane liées aux activités domestiques, notamment dans les bâtiments d’habitation, et aux activités et bâtiments des entreprises, commerces, institutions et services publics. 
",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"3,9938203299",mesuré,"3,8532554828",mesuré,"3,7993894339",mesuré,"3,4509458019",mesuré,"3,6065603742",mesuré,"3,2371416798",mesuré,"3,2428672738",mesuré,"3,6080336369",projection,"3,9732",cible,"3,8770666667",projection,"3,7809333333",projection,"3,6848",cible,"3,591",projection,"3,4972",cible,Run 2 AMS,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions de HFC des bâtiments résidentiels et tertiaires,04b00a19-2537-4a0d-9935-bfc51c3b3b52,Bâtiment,Emissions,Atténuation,4,Barres simple,,"Les hydrofluorocarbures (HFC), gaz de la famille des fluorocarbures utilisés comme fluides frigorigènes notamment, sont des gaz à effet de serre et des polluants très puissants, ayant aussi un effet destructeur sur la couche d’ozone. L'indicateur représente les émissions annuelles de HFC liées aux activités domestiques, notamment dans les bâtiments d’habitation, et aux activités et bâtiments des entreprises, commerces, institutions et services publics. 

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"9,8334232137",mesuré,"8,8202876939",mesuré,"7,4130108203",mesuré,"6,4632248361",mesuré,"5,7681683337",mesuré,"5,2203435483",mesuré,"5,0092861899",mesuré,"4,359643095",projection,"3,71",cible,"3,4866666667",projection,"3,2633333333",projection,"3,04",cible,"2,895",projection,"2,75",cible,Run 2 AMS,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Consommation finale d’énergie du secteur résidentiel - corrigée des variations climatiques,d70f4c43-1a9b-4d85-ace7-17768cf15286,Bâtiment,Consommation,"Atténuation, Ressources",5,Barres simple,,"La réduction de la consommation d'énergie en elle-même (quelle que soit la source d'énergie) par des comportements sobres, l'amélioration de l'efficacité des appareils, ou la rénovation énergétique du bâti, est un objectif essentiel pour réduire les émissions des bâtiments.
L'indicateur représente la consommation totale d'énergie des logements pour l'année, corrigée des variations climatiques pour permettre la comparabilité.",Térawattheures ,Hexagone et outre-mer,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"486,7987615814",mesuré,"482,8929409862",mesuré,"479,2548130956",mesuré,"492,6299008157",mesuré,"485,6195077372",mesuré,"472,8207556208",mesuré,"467,5138370805",projection,"462,2069185403",projection,"456,9",cible,"449,0666666667",projection,"441,2333333333",projection,"433,4",cible,"425,55",projection,"417,7",cible,sorties Enerdata Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Consommation finale d'énergie du secteur tertiaire - corrigée des variations climatiques,a1b11fa8-f3bc-4c82-8504-61245b9b37db,Bâtiment,Consommation,"Atténuation, Ressources",6,Barres simple,,"La réduction de la consommation d'énergie en elle-même (quelle que soit la source d'énergie) par des comportements sobres, l'amélioration de l'efficacité des appareils, ou la rénovation énergétique du bâti, est un objectif essentiel pour réduire les émissions des bâtiments.
L'indicateur représente la consommation totale d'énergie des bâtiments tertiaires pour l'année, corrigée des variations climatiques pour permettre la comparabilité. 
",Térawattheures ,Hexagone et outre-mer,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"272,5456825609",mesuré,"272,4168329506",mesuré,"268,1559759861",mesuré,"259,5989417719",mesuré,"262,6333021621",mesuré,"264,561264027",mesuré,"258,9075093514",projection,"253,2537546757",projection,"247,6",cible,"243,8",projection,240,projection,"236,2",cible,"232,5",projection,"228,8",cible,sorties Enerdata Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part des résidences principales chauffées au gaz,5c5afb35-301c-454e-bf37-beb67f9327ef,Bâtiment,Gaz,"Atténuation, Ressources",7,Barres simple,,"Le gaz est une source d'énergie fossile très utilisée dans le bâtiment, notamment pour le chauffage, et son remplacement progressif par des sources d'énergie moins carbonées représente un levier important de réduction des émissions de gaz à effet de serre.
L'indicateur représente la part résidences principales en France chauffées principalement au gaz, en %.
",Pourcents,Hexagone,SDES (ONRE),,https://www.statistiques.developpement-durable.gouv.fr/media/6410/download?inline,https://www.statistiques.developpement-durable.gouv.fr/consommation-denergie-par-usage-du-residentiel,Fichier et lien,,"36,62",mesuré,"36,93",mesuré,"37,24",mesuré,"37,61",mesuré,"37,55",mesuré,"36,69",projection,"35,83",projection,"34,96",projection,"34,1",projection,"33,24",projection,"32,38",projection,"31,52",projection,"30,65",projection,"29,792",cible,cible Planif -20%,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
Consommation gaz du parc,7993c28e-802e-41c0-9b83-ef998e401e79,Bâtiment,Gaz,"Atténuation, Ressources",8,Barres empilées,Tertiaire,"Le gaz est une source d'énergie fossile très utilisée dans le bâtiment, notamment pour le chauffage, et son remplacement progressif par des sources d'énergie moins carbonées représente un levier important de réduction des émissions de gaz à effet de serre.
L'indicateur représente la consommation de gaz naturel du parc dans l'année, corrigée des variations climatiques pour la comparabilité.
",Térawattheures ,Hexagone et outre-mer,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"72,9913397035",mesuré,"74,3097120726",mesuré,"74,0008969214",mesuré,"70,7685949599",mesuré,"73,8586598471",mesuré,"69,9603954688",mesuré,"67,5403460352",projection,"65,1202966016",projection,"62,700247168",projection,"60,2801977344",projection,"57,8601483008",projection,"55,4400988672",projection,"53,0200494336",projection,"50,6",cible,cible Planif ,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : Projection à partir de 2023
",
Consommation gaz du parc,8e536b66-69a0-4924-9db5-b395d17672cf,Bâtiment,Gaz,"Atténuation, Ressources",8,Barres empilées,Résidentiel,,Térawattheures ,,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"145,6532148198",mesuré,"141,6318106415",mesuré,"138,7038604304",mesuré,"141,3410523558",mesuré,"135,2020540396",mesuré,"128,6514236948",mesuré,"128,0480903614",projection,"127,4447570281",projection,"126,8414236948",projection,"126,2380903614",projection,"125,6347570281",projection,"125,0314236947",projection,"124,4280903614",projection,"105,0168422948",cible,Cible planif -25% vs. moyenne 2019 - 2020,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : Projection à partir de 2023
",
Part des résidences principales chauffées au fioul,f8b12113-9869-4cfe-b65d-7513ee3036f4,Bâtiment,Fioul,"Atténuation, Ressources",9,Barres simple,,"Le fioul est une source d'énergie fossile très émettrice de gaz à effet de serre, et le remplacement des chauffages au fioul représente un levier important de la décarbonation des logements.
L'indicateur représente la part des résidences principales chauffées au fioul.
",Pourcents,Hexagone,SDES (ONRE),,https://www.statistiques.developpement-durable.gouv.fr/media/6410/download?inline,https://www.statistiques.developpement-durable.gouv.fr/consommation-denergie-par-usage-du-residentiel,Fichier et lien,,"10,7",mesuré,"10,45",mesuré,"10,09",mesuré,"9,53",mesuré,"8,98",mesuré,"8,3766666667",projection,"7,7733333333",projection,"7,17",projection,"6,5666666667",projection,"5,9633333333",projection,"5,5",projection,"4,8",projection,"4,2",projection,"3,55",cible,"Suppression 75% des chaudières au fioul
Suppression de 580000 chaudières fioul et gaz/an 2024-2030",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
Consommation fioul dans le parc,b4fd4039-7333-4053-86ff-fe091a7bb3f4,Bâtiment,Fioul,"Atténuation, Ressources",10,Barres empilées,Tertiaire,"Le fioul est une source d'énergie fossile très émettrice de gaz à effet de serre, et le remplacement des chauffages au fioul représente un levier important de la décarbonation du secteur des bâtiments.
L'indicateur représente la consommation réelle de fioul du parc dans l'année. ",Térawattheures ,Hexagone et outre-mer,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"27,2",mesuré,"20,2",mesuré,"18,8",mesuré,"19,6",mesuré,"19,3",mesuré,"16,4",mesuré,"-137,5933625135",projection,"-291,586725027",projection,"9,2702462586",projection,"7,1275097893",projection,"5,3987965515",projection,"4,1023106547",projection,"3,0829391968",projection,"1,788",cible,sorties modèles Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Consommation fioul dans le parc,bf0ee7f9-d4b1-4a79-98c1-e87e5576dfcf,Bâtiment,Fioul,"Atténuation, Ressources",10,Barres empilées,Résidentiel,,,Hexagone et outre-mer,SDES bilan provisoire 2022,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"47,2574542586",mesuré,"41,8280909863",mesuré,"39,1229471713",mesuré,"37,5052333026",mesuré,"35,9236826864",mesuré,"28,6052509837",mesuré,"-208,3490823497",projection,"-445,303415683",projection,"17,6344791462",cible,"14,3373844968",cible,"11,6773601548",cible,"9,6824173446",cible,"8,113879063",cible,"6,1213162078",cible,,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
"Nombre cumulé de primes CEE ""coups de pouce chauffage"" pour les équipements au fioul ",05b6a505-4a9b-478c-97da-e400a32abbf5,Bâtiment,Fioul,"Atténuation, Transition juste",11,Barres simple,,"Le fioul est une source d'énergie fossile très émettrice de gaz à effet de serre, et le remplacement des chauffages au fioul représente un levier important de la décarbonation des logements. L'indicateur représente le nombre (en milliers) de primes CEE 'Coup de pouce chauffage' versées, depuis le 1er janvier 2019, pour remplacer des équipements de chauffage au fioul par des équipements de chauffage avec énergies non fossiles.

",Milliers ,Hexagone et outre-mer, source PPG: données MTECT,,https://pilote.modernisation.gouv.fr/chantier/CH-050,,Lien seulement,,,,,,,,,,,,"489,137",mesuré,675,cible,900,cible,1200,cible,1500,cible,,,,,,,,,Cible PPG 2026,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Ménages en précarité énergétique ,40d1957c-6e0e-462a-9456-e4f785a60978,Bâtiment,Rénovations résidentielles,"Atténuation, Adaptation, Transition juste",12,Barres simple,,"Un ménage est considéré en situation de précarité énergétique lorsque les dépenses énergétiques de son logement sont supérieures à 8 % de son revenu, et que son revenu par unité de consommation le place dans les 30% des ménages les plus modestes. L'indicateur présente la part des ménages en situation de précarité énergétique.
",Pourcents,Hexagone,ONPE,,https://librairie.ademe.fr/ged/8934/ONPE-tableau-de-bord_-_V4.pdf,https://onpe.org/tableaux-de-bord-2024,Fichier et lien,,"11,9",mesuré,"12,6",mesuré,"11,9",mesuré,"11,5",mesuré,"11,7",mesuré,,,,,,,,,,,,,,,,,,,pas de cible,2024-08-02 3:19pm,,Existant,true,true,false,,,
Passoires thermiques parmi les résidences principales,f2774c99-3031-47c1-9c72-be321d7b0333,Bâtiment,Rénovations résidentielles,"Atténuation, Adaptation",13,Barres simple,,"Les logements en catégorie F et G du Diagnostic de performance énergétique sont particulièrement énergivores, et qualifiés de ""passoires thermiques"". L'indicateur représente le nombre de tels logements en résidences principales sur le territoire national. Les chiffres au 1er janvier de l'année n+1 apparaissent au titre de l'année n.
 ",Millions,Hexagone,ONRE / calculs SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6820/download?inline,https://www.statistiques.developpement-durable.gouv.fr/le-parc-de-logements-par-classe-de-performance-energetique-au-1er-janvier-2023,Fichier et lien,,,,,,,,,,"5,129",mesuré,"4,751",mesuré,"4,4007525",projection,"4,050505",projection,"3,7002575",projection,"3,35001",projection,"2,9997625",projection,"2,649515",projection,"2,2992675",projection,"1,94902",cible,Cible planif recalculée janvier 24,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Rénovations d'ampleur aidées par l'Anah ,654d8617-8f55-4dbc-a622-fefcf868fa48,Bâtiment,Rénovations résidentielles,"Atténuation, Adaptation",14,Barres simple,,"Ma Prime Renov' est la principale aide aux travaux de rénovation énergétique, et son pilier "" Globale"" vise à soutenir les projets de rénovation d'ampleur (i.e., non restreints à des mono-gestes à l'impact limité). L'indicateur représente le nombre de logements ayant bénéficié dans l'année d’une telle rénovation d'ampleur aidée par le dispositif au travers d’une des aides de l’ANAH (MaPrimRénov Sérénité, Habiter Mieux Propriétaire Bailleur (Loc'Avantages), MaPrimRénov Copropriété et MaPrimRénov Rénovation Globale).

",Nombre (cumulé),Hexagone et outre-mer,ANAH,,https://www.anah.gouv.fr/sites/default/files/2024-01/202401_ChiffresCles2023_WEBA.pdf,https://www.anah.gouv.fr/anatheque/les-chiffres-cles-2023,Lien seulement,,,,,,,,,,,,65939,mesuré,71613,mesuré,200000,cible,"316666,6666666667",projection,"433333,3333333334",projection,550000,projection,"666666,6666666666",projection,"783333,3333333333",projection,900000,cible,Trajectoire planif (ambitieuse),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Répartition du parc de logement selon le statut,c69af914-ddf5-482c-86af-f9a0023eba77,Bâtiment,Aménagement,"Atténuation, Ressources, Transition juste, Économie",16,Barres empilées,Part de logements vacants,"Les trajectoires du nombre de logements vacants et de résidences secondaires sont dimensionnantes au vu de leur effet sur le rythme de construction de résidences principales et donc sur l'aménagement du territoire et l'artificialisation. L'indicateur représente la répartition du parc de logement en %, selon la nomenclature suivante : logements vacants, résidences secondaires et logements occasionnels, et résidences principales. Les chiffres au 1er janvier de l’année n+1, apparaissent au titre de l’année n.
",Pourcents,France hors Mayotte,"Insee, recensement de la population",,https://www.insee.fr/fr/statistiques/fichier/2412780/cond-logt-parc-residence.xlsx,https://www.insee.fr/fr/statistiques/2412780,Fichier et lien,,"8,1582507385",mesuré,"8,206587154",mesuré,"8,1717864599",mesuré,"8,1683700914",mesuré,"8,1633197322",mesuré,"8,1601353853",mesuré,"8,12",projection,"8,07",projection,"8,03",projection,"7,98",projection,"7,94",projection,"7,89",projection,"7,85",projection,"7,8051778824",cible,Run2 SNBC,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : Projection à partir de 2023
",
Répartition du parc de logement selon le statut,c57bf461-b8ee-42c0-8be8-b5f90f21798e,Bâtiment,Aménagement,"Atténuation, Ressources, Économie",16,Barres empilées,Part de résidences secondaires et logements occasionnels dans le parc,,,,,,https://www.insee.fr/fr/statistiques/fichier/2412780/cond-logt-parc-residence.xlsx,https://www.insee.fr/fr/statistiques/2412780,Fichier et lien,,"9,7015543469",mesuré,"9,6947149579",mesuré,"9,7199251688",mesuré,"9,7444862829",mesuré,"9,7661146225",mesuré,"9,7863451267",mesuré,"9,8041596388",projection,"9,8219741509",projection,"9,8397886631",projection,"9,8576031752",projection,"9,8754176874",projection,"9,8932321995",projection,"9,9110467117",projection,"9,9288612238",cible,,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : Projection à partir de 2023
",
Répartition du parc de logement selon le statut,e2bc20c0-8709-4fc1-8018-de97012768d1,Bâtiment,Aménagement,Atténuation,16,Barres empilées,Part des résidences principales dans le parc,,,,,,https://www.insee.fr/fr/statistiques/fichier/2412780/cond-logt-parc-residence.xlsx,https://www.insee.fr/fr/statistiques/2412780,Fichier et lien,,"82,1401949146",mesuré,"82,0986978882",mesuré,"82,1082883713",mesuré,"82,0871436256",mesuré,"82,0705656453",mesuré,"82,0535194881",mesuré,"82,0800746638",projection,"82,1066298395",projection,"82,1331850152",projection,"82,1597401909",projection,"82,1862953666",projection,"82,2128505423",projection,"82,239405718",projection,"82,2659608937",cible,,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : Projection à partir de 2023
",
Equipements de climatisation,09187559-cf89-4b14-a06c-86a58155f4ac,Bâtiment,Froid,"Atténuation, Adaptation",17,Barres simple,,"Les appareils de climatisation sont énergivores, et les perspectives du changement climatique laissent supposer une hausse de la demande de rafraîchissement des habitats. L'indicateur représente le taux d'équipement en climatisation par ménage.

",Pourcents,Hexagone et outre-mer,PAS DE SOURCE ANNUELLE. Chiffres EDF R&D,,https://politiquedulogement.com/2022/10/lentree-de-la-climatisation-dans-les-foyers-francais-1-2-etat-des-lieux/,,Lien seulement,,14,mesuré,,,,,22,mesuré,,,,,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Production de chaleur par les pompes à chaleur,097ff102-e453-47c6-81e1-750f0ba00907,Bâtiment,Chaleur,Atténuation,18,Barres simple,,"Les pompes à chaleur (PAC) représentent une source de chauffage alternative efficace et largement décarbonnée, dont le développement permet de réduire notre consommation de combustibles fossiles. L'indicateur représente la production d'énergie réelle des PAC en France. 
",Térawattheures ,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6368/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-energetique-de-la-france-en-2022-donnees-provisoires,Fichier et lien,,"26,045645",mesuré,"27,7749486111",mesuré,"31,698275",mesuré,"32,9085966667",mesuré,"42,9796744444",mesuré,"42,6808155992",mesuré,"47,8457136493",projection,"53,0106116994",projection,"58,1755097495",projection,"63,3404077996",projection,"68,5053058497",projection,"73,6702038998",projection,"78,8351019499",projection,84,cible,Cible PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Pompes à chaleur géothermiques individuelles vendues,75e7f7ac-b008-4b17-a6c8-6eb0d73a7e2e,Bâtiment,Chaleur,Atténuation,19,Barres simple,,"Les pompes à chaleur (PAC) géothermiques, qui utilisent la chaleur du sous-sol, représentent une source de chauffage alternative particulièrement efficace et décarbonnée, dont le développement est encouragé par le Plan géothermie. L'indicateur représente le nombre de PAC géothermiques vendues en France chaque année.

",Nombre,Hexagone et outre-mer,Observ'ER,,https://energies-renouvelables.org/#,https://energies-renouvelables.org/,Lien seulement,,3100,mesuré,3080,mesuré,3475,mesuré,3005,mesuré,3220,mesuré,3260,mesuré,"3947,5",projection,4635,projection,6010,cible,6418,projection,6826,projection,7234,projection,7642,projection,8050,cible,"Cible 2025 Plan Géothermie, cible 2030 PPE",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
